0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
8/8/24,8/21/24,Period C,/,28000,32000,/,8/8/24,8/21/24,Period C,/,35000,38000,/,,,
8/22/24,12/21/24,Period B,/,26000,29000,/,8/22/24,12/21/24,Period B,/,32000,35000,/,,,
12/22/24,1/7/25,Period D,/,38000,41000,/,12/22/24,1/7/25,Period D,/,44000,47000,/,,,
1/8/25,4/30/25,Period B,/,27000,30000,/,1/8/25,4/30/25,Period B,/,33000,36000,/,,,
5/1/25,7/15/25,Period A,/,22000,25000,/,5/1/25,7/15/25,Period A,/,28000,31000,/,,,
BUBBLE LODGES - PRICE PER PERSON ( 3 UNITS ),BUBBLE LODGES - PRICE PER PERSON ( 3 UNITS ),BUBBLE LODGES - PRICE PER PERSON ( 3 UNITS ),BUBBLE LODGES - PRICE PER PERSON ( 3 UNITS ),BUBBLE LODGES - PRICE PER PERSON ( 3 UNITS ),BUBBLE LODGES - PRICE PER PERSON ( 3 UNITS ),BUBBLE LODGES - PRICE PER PERSON ( 3 UNITS ),BUBBLE LODGES - PRICE PER PERSON ( 3 UNITS ),BUBBLE LODGES - PRICE PER PERSON ( 3 UNITS ),BUBBLE LODGES - PRICE PER PERSON ( 3 UNITS ),BUBBLE LODGES - PRICE PER PERSON ( 3 UNITS ),BUBBLE LODGES - PRICE PER PERSON ( 3 UNITS ),BUBBLE LODGES - PRICE PER PERSON ( 3 UNITS ),BUBBLE LODGES - PRICE PER PERSON ( 3 UNITS ),BUBBLE LODGES - PRICE PER PERSON ( 3 UNITS ),BUBBLE LODGES - PRICE PER PERSON ( 3 UNITS ),BUBBLE LODGES - PRICE PER PERSON ( 3 UNITS )
Date Valid,Date Valid,,PRICE,PRICE,PRICE,PRICE,,,,,,,,,,
From,To,SEASON,B/B,H/B,F/B,S.A.I.,,,,,,,,,,
7/16/24,8/7/24,Period B,/,26000,29000,/,,,,,,,,,,
8/8/24,8/21/24,Period C,/,28000,32000,/,,,,,,,,,,
8/22/24,12/21/24,Period B,/,26000,29000,/,,,,,,,,,,
12/22/24,1/7/25,Period D,/,38000,41000,/,,,,,,,,,,
1/8/25,4/30/25,Period B,/,27000,30000,/,,,,,,,,,,
5/1/25,7/15/25,Period A,/,22000,25000,/,,,,,,,,,,
Accepted by,Accepted by,Accepted by,Accepted by,Accepted by,Accepted by,Accepted by,Accepted by,Accepted by,Accepted by,Accepted by,Accepted by,Accepted by,Accepted by,Accepted by,Accepted by,
PEPO HURU LIFESTYLE LTD,PEPO HURU LIFESTYLE LTD,PEPO HURU LIFESTYLE LTD,PEPO HURU LIFESTYLE LTD,PEPO HURU LIFESTYLE LTD,PEPO HURU LIFESTYLE LTD,PEPO HURU LIFESTYLE LTD,TOUR OPERATOR,TOUR OPERATOR,TOUR OPERATOR,TOUR OPERATOR,TOUR OPERATOR,TOUR OPERATOR,TOUR OPERATOR,TOUR OPERATOR,TOUR OPERATOR,
Contact person posi*on,Contact person posi*on,Contact person posi*on,Contact person posi*on,Contact person posi*on,Contact person posi*on,Contact person posi*on,Contact person posi*on,Contact person posi*on,Contact person posi*on,Contact person posi*on,Contact person posi*on,Contact person posi*on,Contact person posi*on,Contact person posi*on,Contact person posi*on,
